Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details
17202-6826,QB,Eli,,Manning,16.26499939,12,7700,DAL@NYG,NYG,DAL,,
17202-14225,QB,Andy,,Dalton,17.76666641,12,7700,CIN@CLE,CIN,CLE,,
17202-14377,QB,Tyrod,,Taylor,17.79833349,12,7600,PIT@BUF,BUF,PIT,,
17202-22038,QB,Kirk,,Cousins,20.11166636,12,7600,WAS@PHI,WAS,PHI,,
17202-6748,QB,Carson,,Palmer,17.05818176,11,7400,ARI@MIA,ARI,MIA,,
17202-14231,QB,Colin,,Kaepernick,19.43714251,7,7300,NYJ@SF,SF,NYJ,,
17202-7659,QB,Ryan,,Fitzpatrick,11.71999983,11,7200,NYJ@SF,NYJ,SF,,
17202-21948,QB,Ryan,,Tannehill,15.28333282,12,7100,ARI@MIA,MIA,ARI,,
17202-28434,QB,Trevor,,Siemian,15.26399994,10,7000,DEN@TEN,DEN,TEN,Q,Foot
17202-11414,QB,Sam,,Bradford,13.7436357,11,6900,MIN@JAC,MIN,JAC,,
17202-34308,QB,Blake,,Bortles,18.54166667,12,6900,MIN@JAC,JAC,MIN,,
17202-38435,QB,Jared,,Goff,10.78666687,3,6700,ATL@LA,LA,ATL,,
17202-21994,QB,Brock,,Osweiler,13.30500031,12,6500,HOU@IND,HOU,IND,,
17202-70324,QB,Carson,,Wentz,14.16166687,12,6500,WAS@PHI,PHI,WAS,,
17202-6803,QB,Josh,,McCown,11.61999969,5,6400,CIN@CLE,CLE,CIN,Q,Finger
17202-14194,QB,Blaine,,Gabbert,13.19999949,6,6300,NYJ@SF,SF,NYJ,,
17202-21941,QB,Robert,,Griffin III,10.30000019,1,6200,CIN@CLE,CLE,CIN,IR,Shoulder
17202-29605,QB,Matt,,Barkley,10.58666674,3,6200,CHI@DET,CHI,DET,,
17202-31798,QB,Bryce,,Petty,5.893333435,3,6100,NYJ@SF,NYJ,SF,,
17202-33463,QB,Paxton,,Lynch,9.793333054,3,6100,DEN@TEN,DEN,TEN,,
17202-29715,QB,Kevin,,Hogan,6.219999949,3,6000,CIN@CLE,CLE,CIN,,
17202-25812,QB,Stephen,,Morris,0,0,6000,HOU@IND,IND,HOU,,
